ROAD TRIP CSV ",."
Version,Language
1500,de


Kraftstoff
Tachostand (km),Tagestachostand,Datum,Getankt Betrag,Getankt Einheiten,Preis pro Einheit,Total Preis,Vollgetankt,l/100 km,Notiz,Oktan,Ort,Zahlung,Verkehrsbedingungen,Initialisieren,Kategorien,Flags,Währungscode,Wechselkurs,Breite,Länge,ID,Trip Comp Fuel Economy,Trip Comp Avg. Speed,Trip Comp Temperature,Trip Comp Drive Time,Tank Number
76157,,"2015-4-1 18:59",52.84,L,1.1389,60.18,,,,"Shell","Bremen","Debitkarte","Überlandfahrten",Reset,"Persönliche",9,,1,48.761852,9.171955,1,,,,,0
77118,961,"2015-4-4 19:24",60.39,L,1.179,71.2,,6.2841,,"Aral","Titisee",,"Stadt/Land",,,0,,1,,,2,,,,,0
78048,930,"2015-4-13 18:02",59.41,L,1.2091,71.83,,6.3882,,"Shell","Schwäbisch Gmünd","Debitkarte","Stadt/Land",,"Persönliche",0,,1,48.815614,9.82408,3,,,,,0
78980,932,"2015-4-24 17:42",59.44,L,1.219,72.46,,6.3777,,"OMV","Stuttgart","Debitkarte","Stadt/Land",,"Persönliche",0,,1,48.763054,9.176521,4,,,,,0
79833,853,"2015-4-30 11:00",53.03,L,1.1889,63.05,,6.2169,,"NoName","Nürnberg","Debitkarte","Stadt/Land",,"Persönliche",0,,1,49.427367,11.061484,5,,,,,0
80702,869,"2015-5-1",59.85,L,1.181,70.68,,6.8872,,"NoName","Kruszów","Debitkarte","Überlandfahrten",,"Persönliche",0,,1,51.579846,19.571803,6,,,,,0
81715,1013,"2015-5-6",58.94,L,1.1994,70.69,,5.8184,,"NoName","Rózan","Debitkarte","Stadt/Land",,"Persönliche",0,,1,52.887629,21.368695,7,,,,,0
82379,664,"2015-5-7",45,L,1.3176,59.29,,6.7771,,"BP","Zgorzelec","Debitkarte","Überlandfahrten",,"Persönliche",0,,1,51.176987,15.029822,8,,,,,0
82832,453,"2015-5-8",30.33,L,1.2189,36.97,,6.6954,,"Aral","Nürnberg","Debitkarte","Überlandfahrten",,"Persönliche",0,,1,49.427367,11.061484,9,,,,,0
83712,880,"2015-5-11 11:43",56.83,L,1.199,68.14,,6.458,,"NoName","Stuttgart","Debitkarte","Stadt/Land",,"Persönliche",0,,1,48.763054,9.176521,10,,,,,0
84635,923,"2015-5-27 16:00",59.58,L,1.2289,73.22,,6.455,,"Shell","Lorch","Debitkarte","Stadt/Land",,"Persönliche",0,,1,,,11,,,,,0
85556,921,"2015-6-15 17:37",62.79,L,1.179,74.03,,6.8176,,"Total","Schorndorf","Debitkarte","Stadt/Land",,"Persönliche",0,,1,48.80587,9.50826,12,,,,,0
86479,923,"2015-6-24 21:33",60.16,L,1.199,72.13,,6.5179,,"OMV","Stuttgart","Debitkarte","Stadt/Land",,"Persönliche",0,,1,48.763054,9.176521,13,,,,,0
87384,905,"2015-7-5",60.76,L,1.1791,71.64,,6.7138,,"OMV","Stuttgart","Debitkarte","Stadt/Land",,"Persönliche",0,,1,,,14,,,,,0
